"variable_id","mz","rt","mzmin","mzmax","rtmin","rtmax","ms2_files_id","ms2_spectrum_id","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database","Level","logFC","AveExpr","t","P.Value","adj.P.Val","B","control1","control2","control3","MethiocarbB1","MethiocarbB2","MethiocarbB3","Significance"
"M107T707_POS",107.049186853838,706.960327148438,107.049174392498,107.049221400965,702.445495605469,708.022521972656,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz107.0492386rt703.319","3-Methylcatechol","488-17-5","HMDB0301753","C02923","HMDB0301753_11_shen","(M+H-H2O)+",0.272749999972177,0.999834696858548,NA,NA,"15",0.516297780958045,0.697624124420734,"HMDB_2022-04-11",2,0.450084066832918,7.0436309092244,2.40723712910967,0.0489127992541758,0.237631637956093,-4.08740502463429,7877477.54440793,3616144.53506151,10026137.8843165,28873095.8093104,28411594.654275,7798837.40413537,"Up"
"M120T238_POS",120.080958106363,237.589828491211,120.080886407871,120.080993498525,236.415008544922,238.982788085938,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz120.08102285rt257.028","2-Amino-1-phenylethanol","7568-93-6","HMDB01065","C02735","NO07603","(M+H-H2O)+",0.557124999964742,0.99931048612272,NA,NA,"20",0.605416753262489,0.753126903085076,"NIST_0.0.1",2,0.278471751375778,7.54188067115883,3.63591475352505,0.00916011439711569,0.126560492741995,-2.41323884670638,19673989.0328759,26054893.8119079,31488549.3796025,46017192.592788,41932127.0634219,57264124.8099591,"Up"
"M123T77_POS",123.0553864478,77.021312713623,123.055344460994,123.05541570197,75.2592,79.6381607055664,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz123.05529628rt82.1524","Niacinamide","98-92-0","HMDB0001406","C00153","LU025101","(M+H)+",0.00930000002341558,0.999999807800018,NA,NA,"15",0.723707461730675,0.827317091506679,"MassBank_2022-04-27",2,0.21129629153816,8.42286791199824,3.47491763189509,0.0112774774772921,0.136671564271708,-2.62263305030591,187588768.571617,226059631.949711,210974249.199572,320724639.794161,308412703.966245,389299269.048684,"Up"
"M132T125_POS",132.0763687457,125.44970703125,132.075620057113,132.076916483672,117.059631347656,133.735580444336,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz132.07689014rt103.534","5,6-DIHYDROURACIL","504-07-4","HMDB0000076","C00429","EMBL-MCF_spec102005","(M+NH4)+",0.156770000003803,0.999945386307157,NA,NA,"35.0 eV",0.655286785608222,0.784533760870323,"MoNA_2022-04-27",2,0.274371209200566,7.19218024448836,2.52964982177237,0.0410760724132713,0.221529028903761,-3.91555305668154,10552695.2264809,14259981.9327365,9716314.17047601,24118364.9205185,13062834.85,30882485.7097225,"Up"
"M135T333_POS",135.044129404438,333.282043457031,135.044060489802,135.044193250765,332.206237792969,335.015319824219,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz135.0441rt304.604","1-Isobenzofuranone","87-41-2",NA,"C09921","NO07555","(M+H)+",0,1,NA,NA,"20",0.7189550943773,0.824346933985812,"NIST_0.0.1",2,-0.195552821953036,6.57379121348432,-2.77443403897061,0.0290864546879406,0.195649601789147,-3.57314205490791,4375073.52259562,4103217.32197891,5762261.96321571,2916564.02032286,3549015.34657868,2588600.41409255,"Down"
"M137T128_1_POS",137.045948406344,128.484443664551,137.045916008407,137.045976517948,124.47395324707,130.746505737305,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz137.04599851rt122.321","Hypoxanthine","68-94-0","HMDB0000157","C00262","HMDB0000157_16_shen","(M+H)+",0.469350000074087,0.99951058775111,NA,NA,"10",0.727495532742674,0.829501178370837,"HMDB_2022-04-11",2,0.263697646410289,9.05055698418346,3.96845278574073,0.00603589515519517,0.113258870261663,-1.99357668791137,701933878.89703,870191426.668523,933713157.077053,1653735864.33369,1286045005.78551,1657658672.00634,"Up"
"M146T47_4_POS",146.165322598838,47.0254993438721,146.165275688332,146.165349636992,46.7375183105469,47.388,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz146.16525647rt48.542","Spermidine","124-20-9","HMDB0001257","C00315","HMDB0001257_21_shen","(M+H)+",0.147117500048921,0.999951904359253,NA,NA,"25",0.768289458711445,0.855162875829373,"HMDB_2022-04-11",2,-0.185812787945194,8.83237366160099,-2.40490425329577,0.0490763602175705,0.23799178146513,-4.0906798898074,622779841.757542,911995604.614538,1050782604.88687,551358714.011914,492830577.252639,608513075.525377,"Down"
"M147T372_POS",147.080624409579,371.936773681641,147.080550116241,147.080713404738,371.488861083984,372.207794189453,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz147.08070208rt373.177","Benzylideneacetone","122-57-6","HMDB0031617",NA,"HMDB0031617_4_shen","(M+H)+",0.59284500004253,0.999219271162867,NA,NA,"45",0.593152499876055,0.74542753910861,"HMDB_2022-04-11",2,-0.484873020635336,6.97041630193161,-2.53702641830507,0.0406476737092553,0.221176596054593,-3.90520186944443,16176086.0845878,12763757.5637603,21072033.1451534,3416391.46803519,2937784.20554884,15217799.3887048,"Down"
"M149T712_2_POS",149.023387661561,712.400482177734,149.023353805073,149.023400083914,707.836730957031,713.553405761719,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz149.02346285rt707.376","Phthalic acid","88-99-3","HMDB0002107","C01606","HMDB0002107_7_shen","(M+H-H2O)+",0.385424999933548,0.999669937970074,NA,NA,"35",0.580203060833316,0.737503139759601,"HMDB_2022-04-11",2,-0.244092257804514,8.37657439897131,-2.81117691040863,0.0276328431118325,0.190992185061446,-3.52203200711674,425521195.666306,307742913.642487,239195125.329656,143461904.87593,214694792.367446,188376492.75161,"Down"
"M152T125_POS",152.056893099395,125.493476867676,152.056849219523,152.056915523129,120.334922790527,128.678298950195,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz152.05681722rt131.927","Guanine","73-40-5","HMDB00132","C00242","NO00006","(M+H)+",0.293050000053086,0.999809177536631,NA,NA,"15",0.713480090123278,0.820853497903286,"NIST_0.0.1",2,0.230488996446356,7.98642657150814,2.59923144802152,0.0372153564086688,0.213364918694638,-3.81796653381057,53952328.4714489,80520766.3745958,94542727.5359018,149264540.967745,97795249.4071932,138273450.637418,"Up"
